MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Candida_tropicalis,Mock3,Qmin17,emu,NCBI,0.953990236,0.912028041,1
Candida_zeylanoides,Mock3,Qmin17,emu,NCBI,0.262683399,0.15120065,1
Cryptococcus_gattii_VGI,Mock3,Qmin17,emu,NCBI,0,0,0
Cryptococcus_neoformans_VNIII,Mock3,Qmin17,emu,NCBI,0.081330091,0.042388787,1
Diplodia_seriata,Mock3,Qmin17,emu,NCBI,0.977277728,0.955565118,1
Fusarium_pseudograminearum,Mock3,Qmin17,emu,NCBI,0.972324931,0.94614043,1
Kluyveromyces_lactis,Mock3,Qmin17,emu,NCBI,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin17,emu,NCBI,0.975318066,0.952204695,0.999581437
Kodamaea_ohmeri,Mock3,Qmin17,emu,NCBI,0.978169143,0.957271095,1
Leptosphaeria_maculans,Mock3,Qmin17,emu,NCBI,0.968839114,0.939561543,1
Penicillium_chrysogenum,Mock3,Qmin17,emu,NCBI,0,0,0
Pichia_kudriavzevii,Mock3,Qmin17,emu,NCBI,0.953058572,0.930173193,0.97709847
Pichia_membranifaciens,Mock3,Qmin17,emu,NCBI,0.585211527,0.413638885,1
Quambalaria_cyanescens,Mock3,Qmin17,emu,NCBI,0.427290714,0.271690845,1
Rhodotorula_mucilaginosa,Mock3,Qmin17,emu,NCBI,0.874994034,0.778976916,0.99800919
Scedosporium_aurantiacum,Mock3,Qmin17,emu,NCBI,0.309500754,0.183082456,1
Trichomonascus_ciferrii,Mock3,Qmin17,emu,NCBI,0.056527295,0.029085716,1
Trichosporon_asahii,Mock3,Qmin17,emu,NCBI,0.855030075,0.746770772,1
Tuber_brumale,Mock3,Qmin17,emu,NCBI,0.169232086,0.092437761,1
Wickerhamomyces_anomalus,Mock3,Qmin17,emu,NCBI,0.297031067,0.174419545,1
Yamadazyma_mexicana,Mock3,Qmin17,emu,NCBI,0.979671918,0.960786761,0.99931437
